,created_at, Monitor ID, Location ID, SO2(ppm),NO2,O3,CO,SO2,Temperature,RH,Pressure
173,2021-10-23 14:37:00,1,1,0.3,0.0,0.0,18.579,69.842,38.088,25.766,955.094
174,2021-10-23 14:38:00,1,1,0.0,0.0,0.0,13.789,59.263,37.779,26.161,955.106
175,2021-10-23 14:39:00,1,1,0.0,0.0,0.0,15.235,63.647,37.152,27.199,954.874
176,2021-10-23 14:40:00,1,1,0.0,0.0,0.0,15.158,61.947,36.758,28.273,954.375
177,2021-10-23 14:41:00,1,1,0.2,0.0,0.0,13.895,58.526,36.369,28.419,954.207
178,2021-10-23 14:42:00,1,1,0.2,0.0,1.0,15.812,64.0,35.939,28.16,953.652
179,2021-10-23 14:43:00,1,1,0.0,0.0,0.0,16.579,64.211,35.643,28.231,953.16
180,2021-10-23 14:44:00,1,1,0.0,0.0,0.0,14.222,61.444,35.678,28.223,953.039
181,2021-10-23 14:45:00,1,1,0.0,0.0,0.0,21.421,81.895,35.946,28.019,952.856
182,2021-10-23 14:46:00,1,1,0.0,0.0,4.444,22.611,81.944,36.177,28.061,952.832
183,2021-10-23 14:47:00,1,1,0.1,0.0,3.368,18.579,73.895,36.454,27.801,952.628
184,2021-10-23 14:48:00,1,1,0.1,0.0,0.0,17.0,68.722,36.498,27.65,952.46
185,2021-10-23 14:49:00,1,1,0.1,0.0,0.0,16.833,67.333,36.532,27.439,951.626
186,2021-10-23 14:50:00,1,1,0.1,0.0,0.0,14.579,64.895,36.581,28.191,952.244
187,2021-10-23 14:51:00,1,1,0.0,0.0,0.0,16.263,72.684,36.813,27.62,952.247
188,2021-10-23 14:52:00,1,1,0.1,0.0,0.0,17.632,71.684,36.772,27.313,952.252
189,2021-10-23 14:53:00,1,1,0.0,0.0,0.0,18.0,71.632,36.626,27.512,952.053
190,2021-10-23 14:54:00,1,1,0.2,0.0,0.0,17.316,70.579,36.503,28.22,952.25
191,2021-10-23 14:55:00,1,1,0.1,0.0,0.0,17.611,71.5,36.512,28.547,951.987
192,2021-10-23 14:56:00,1,1,0.0,0.0,0.0,16.944,73.5,36.497,28.567,951.773
193,2021-10-23 14:57:00,1,1,0.1,0.0,0.0,22.545,85.818,36.427,28.964,951.512
194,2021-10-23 14:58:00,1,1,0.2,0.0,0.0,21.647,75.647,36.126,29.272,951.697
195,2021-10-23 14:59:00,1,1,0.0,0.0,0.0,18.263,70.0,36.086,29.903,952.06
196,2021-10-23 15:00:00,1,1,0.1,0.0,0.0,19.842,74.0,36.03,30.426,951.798
197,2021-10-23 15:01:00,1,1,0.1,0.0,0.0,19.316,71.474,36.028,30.817,952.128
198,2021-10-23 15:02:00,1,1,0.2,0.0,0.0,19.158,75.947,36.046,30.083,951.977
199,2021-10-23 15:03:00,1,1,0.2,0.0,0.0,18.474,71.211,36.159,29.592,951.896
200,2021-10-23 15:04:00,1,1,0.1,0.0,0.0,16.278,67.833,36.208,29.045,951.737
201,2021-10-23 15:05:00,1,1,0.1,0.0,0.0,21.105,80.526,36.371,29.804,951.145
202,2021-10-23 15:06:00,1,1,0.1,0.0,0.0,21.062,76.5,36.404,28.404,950.996
203,2021-10-23 15:07:00,1,1,0.1,0.0,0.0,17.222,64.944,36.059,28.134,951.442
204,2021-10-23 15:08:00,1,1,0.2,0.0,0.0,14.737,58.684,35.709,28.549,951.288
205,2021-10-23 15:09:00,1,1,0.2,0.0,0.0,14.611,59.333,35.428,29.112,951.728
206,2021-10-23 15:10:00,1,1,0.2,0.0,0.0,12.667,53.056,35.143,29.408,951.751
