,Date Time, NO2(ppm),data.temp_c,data.hum_prcnt,data.co_ppm,data.no2_ppb,data.co_mv,data.no2_mv,data.ozone_ppm,data.batt_prcnt,data.location.lat,data.location.lon,data.no2_ppb_shift
207,2021-08-19 14:48:00,0.035,31.385,48.667,519.5,1994.5,1960.5,1058.5,63.0,74.0,17.454,78.381,2085.5
208,2021-08-19 14:49:00,0.04,31.22,49.056,522.0,1958.5,1963.5,1046.0,61.5,74.0,17.456,78.377,2197.5
209,2021-08-19 14:50:00,0.053,31.08,49.302,507.0,1919.5,1922.0,1039.0,60.0,74.0,17.455,78.372,2366.0
210,2021-08-19 14:51:00,0.055,30.91,49.719,497.0,1914.0,1892.0,1033.0,66.0,74.0,17.452,78.37,2326.5
211,2021-08-19 14:52:00,0.046,30.727,50.268,510.333,1910.667,1932.667,1038.0,71.333,74.0,17.448,78.374,2321.0
212,2021-08-19 14:53:00,0.045,30.58,50.881,496.5,1889.0,1895.0,1030.0,70.5,74.0,17.444,78.376,2439.0
213,2021-08-19 14:54:00,0.061,30.545,51.178,542.0,1924.5,2017.5,1039.5,70.5,74.0,17.44,78.377,2317.5
214,2021-08-19 14:55:00,0.083,30.405,50.908,499.0,1882.0,1899.5,1028.0,70.5,73.5,17.432,78.375,2464.0
215,2021-08-19 14:56:00,0.061,30.275,51.674,550.0,1962.0,2042.0,1046.0,81.0,73.0,17.429,78.375,2460.5
216,2021-08-19 14:57:00,0.064,30.365,52.258,585.0,2048.0,2142.0,1074.5,79.0,73.0,17.432,78.372,2446.0
217,2021-08-19 14:58:00,0.068,30.46,51.568,559.0,1974.5,2064.5,1051.0,80.0,73.0,17.436,78.367,2550.0
218,2021-08-19 14:59:00,0.057,30.405,51.519,514.0,1919.0,1943.5,1039.5,82.0,73.0,17.438,78.364,2383.5
219,2021-08-19 15:00:00,0.055,30.475,51.563,579.0,2065.5,2121.0,1076.5,81.0,73.0,17.438,78.364,2210.5
