Epoch date,GMT,Battery_percentage,CO_mega
1624435901,23-06-2021 08:11,35,485
1624435932,23-06-2021 08:12,38,489
1624435963,23-06-2021 08:12,39,492
1624435994,23-06-2021 08:13,41,494
1624436025,23-06-2021 08:13,42,496
1624436056,23-06-2021 08:14,44,496
1624436321,23-06-2021 08:18,49,512
1624436584,23-06-2021 08:23,52,518
1624437008,23-06-2021 08:30,55,531
1624437159,23-06-2021 08:32,56,535
1624437228,23-06-2021 08:33,56,534
1624437335,23-06-2021 08:35,57,536
1624437645,23-06-2021 08:40,60,543
1624438065,23-06-2021 08:47,64,549
1624438367,23-06-2021 08:52,66,554
1624438701,23-06-2021 08:58,67,558
1624439128,23-06-2021 09:05,70,563
1624439390,23-06-2021 09:09,71,565
1624439789,23-06-2021 09:16,72,570
1624440152,23-06-2021 09:22,75,575
1624440296,23-06-2021 09:24,76,568
1624440332,23-06-2021 09:25,76,564
1624440796,23-06-2021 09:33,80,558
1624441218,23-06-2021 09:40,83,557
1624441731,23-06-2021 09:48,88,558
1624442019,23-06-2021 09:53,90,556
1624442693,23-06-2021 10:04,95,554
1624443083,23-06-2021 10:11,98,554
1624443852,23-06-2021 10:24,100,552
1624444025,23-06-2021 10:27,100,553
1624444281,23-06-2021 10:31,100,552
1624444706,23-06-2021 10:38,100,548
1624445213,23-06-2021 10:46,100,547
1624445695,23-06-2021 10:54,100,547
1624446668,23-06-2021 11:11,100,546
1624447126,23-06-2021 11:18,100,544
1624447513,23-06-2021 11:25,100,544
1624447969,23-06-2021 11:32,100,542
1624448421,23-06-2021 11:40,100,543
1624448827,23-06-2021 11:47,100,542
1624449183,23-06-2021 11:53,100,544
1624449809,23-06-2021 12:03,100,550
1624450076,23-06-2021 12:07,100,551
1624450732,23-06-2021 12:18,100,553
1624451161,23-06-2021 12:26,100,555
1624451521,23-06-2021 12:32,100,557
1624451922,23-06-2021 12:38,100,559
1624452321,23-06-2021 12:45,100,560
1624452765,23-06-2021 12:52,100,561
1624453304,23-06-2021 13:01,100,563
1624453748,23-06-2021 13:09,100,563
1624453785,23-06-2021 13:09,100,564
1624454096,23-06-2021 13:14,100,565
1624454499,23-06-2021 13:21,100,565
1624454864,23-06-2021 13:27,100,568
1624455282,23-06-2021 13:34,100,569
1624455642,23-06-2021 13:40,100,571
1624456110,23-06-2021 13:48,100,573
1624456785,23-06-2021 13:59,100,573
1624457492,23-06-2021 14:11,100,575
1624457857,23-06-2021 14:17,100,574
1624458316,23-06-2021 14:25,100,577
1624458748,23-06-2021 14:32,100,577
1624459144,23-06-2021 14:39,100,577
1624459638,23-06-2021 14:47,100,579
1624460183,23-06-2021 14:56,100,578
1624460586,23-06-2021 15:03,100,578
1624460987,23-06-2021 15:09,100,579
1624461356,23-06-2021 15:15,100,581
1624461739,23-06-2021 15:22,100,581
1624462296,23-06-2021 15:31,100,578
1624462965,23-06-2021 15:42,100,580
1624463463,23-06-2021 15:51,100,581
1624463943,23-06-2021 15:59,100,582
1624464353,23-06-2021 16:05,100,581
1624464714,23-06-2021 16:11,100,581
1624465144,23-06-2021 16:19,100,582
1624465481,23-06-2021 16:24,100,583
1624465999,23-06-2021 16:33,100,581
1624466397,23-06-2021 16:39,100,582
1624466822,23-06-2021 16:47,100,581
1624467252,23-06-2021 16:54,100,582
1624467639,23-06-2021 17:00,100,581
1624467808,23-06-2021 17:03,100,585
1624468013,23-06-2021 17:06,100,583
1624468394,23-06-2021 17:13,100,582
1624468802,23-06-2021 17:20,100,583
1624469210,23-06-2021 17:26,100,582
1624469581,23-06-2021 17:33,100,583
1624470186,23-06-2021 17:43,100,582
1624470585,23-06-2021 17:49,100,582
1624470992,23-06-2021 17:56,100,582
1624471311,23-06-2021 18:01,100,583
1624471314,23-06-2021 18:01,100,583
1624471646,23-06-2021 18:07,100,581
1624471993,23-06-2021 18:13,100,581
1624472429,23-06-2021 18:20,100,579
