Epoch date,GMT,Battery_percentage,NO2_ppb_megasense
1624400515,22-06-2021 22:21,54,2592
1624401055,22-06-2021 22:30,54,2589
1624401474,22-06-2021 22:37,54,2575
1624401672,22-06-2021 22:41,54,2575
1624401987,22-06-2021 22:46,53,2585
1624402362,22-06-2021 22:52,53,2560
1624402365,22-06-2021 22:52,53,2560
1624402718,22-06-2021 22:58,53,2578
1624403417,22-06-2021 23:10,52,2564
1624403424,22-06-2021 23:10,52,2564
1624403948,22-06-2021 23:19,52,2585
1624404508,22-06-2021 23:28,52,2585
1624405058,22-06-2021 23:37,51,2564
1624405629,22-06-2021 23:47,50,2571
1624407543,23-06-2021 00:19,49,2567
1624408198,23-06-2021 00:29,48,2567
1624408729,23-06-2021 00:38,47,2560
1624409253,23-06-2021 00:47,47,2567
1624409594,23-06-2021 00:53,46,2578
1624409625,23-06-2021 00:53,46,2571
1624409693,23-06-2021 00:54,46,2539
1624409776,23-06-2021 00:56,46,2560
1624410156,23-06-2021 01:02,45,2567
1624410790,23-06-2021 01:13,45,2575
1624411183,23-06-2021 01:19,44,2571
1624411533,23-06-2021 01:25,43,2564
1624412058,23-06-2021 01:34,43,2564
1624412396,23-06-2021 01:39,42,2578
1624412751,23-06-2021 01:45,42,2567
1624413136,23-06-2021 01:52,41,2546
1624413514,23-06-2021 01:58,40,2564
1624413902,23-06-2021 02:05,40,2567
1624414468,23-06-2021 02:14,39,2575
1624415134,23-06-2021 02:25,38,2610
1624415749,23-06-2021 02:35,37,2617
1624416129,23-06-2021 02:42,37,2607
1624416507,23-06-2021 02:48,37,2607
1624416931,23-06-2021 02:55,36,2614
1624417299,23-06-2021 03:01,36,2592
1624417664,23-06-2021 03:07,35,2614
1624418156,23-06-2021 03:15,35,2614
1624418651,23-06-2021 03:24,33,2621
1624419254,23-06-2021 03:34,32,2614
1624419672,23-06-2021 03:41,30,2617
1624419678,23-06-2021 03:41,30,2617
1624420005,23-06-2021 03:46,29,2607
1624420365,23-06-2021 03:52,28,2560
1624420369,23-06-2021 03:52,28,2560
1624420720,23-06-2021 03:58,27,2525
1624420723,23-06-2021 03:58,27,2525
1624421051,23-06-2021 04:04,25,2500
1624421057,23-06-2021 04:04,25,2500
1624421464,23-06-2021 04:11,23,2428
1624422177,23-06-2021 04:22,20,2221
1624422670,23-06-2021 04:31,17,2082
1624422677,23-06-2021 04:31,17,2082
1624423144,23-06-2021 04:39,15,1964
1624423147,23-06-2021 04:39,15,1964
1624423880,23-06-2021 04:51,11,1885
1624424046,23-06-2021 04:54,10,1867
1624424471,23-06-2021 05:01,8,1792
1624424958,23-06-2021 05:09,4,1682
1624424961,23-06-2021 05:09,4,1682
1624425342,23-06-2021 05:15,1,1596
1624425347,23-06-2021 05:15,1,1596
1624425524,23-06-2021 05:18,0,1571
1624425526,23-06-2021 05:18,0,1571
1624425735,23-06-2021 05:22,0,1482
1624425738,23-06-2021 05:22,0,1482
1624426160,23-06-2021 05:29,0,1421
1624426165,23-06-2021 05:29,0,1421
1624435621,23-06-2021 08:07,20,3996
1624435653,23-06-2021 08:07,21,2903
1624435684,23-06-2021 08:08,22,2432
1624435715,23-06-2021 08:08,23,2350
1624435746,23-06-2021 08:09,25,2328
1624435777,23-06-2021 08:09,27,2328
1624435808,23-06-2021 08:10,29,2307
1624435839,23-06-2021 08:10,31,2300
1624435870,23-06-2021 08:11,33,2310
1624435901,23-06-2021 08:11,35,2310
1624435932,23-06-2021 08:12,38,2303
1624435963,23-06-2021 08:12,39,2332
1624435994,23-06-2021 08:13,41,2307
1624436025,23-06-2021 08:13,42,2328
1624436056,23-06-2021 08:14,44,2321
1624436321,23-06-2021 08:18,49,2367
1624436584,23-06-2021 08:23,52,2403
1624437008,23-06-2021 08:30,55,2457
1624437159,23-06-2021 08:32,56,2460
1624437228,23-06-2021 08:33,56,2471
1624437335,23-06-2021 08:35,57,2507
1624437645,23-06-2021 08:40,60,2532
1624438065,23-06-2021 08:47,64,2582
1624438367,23-06-2021 08:52,66,2603
1624438701,23-06-2021 08:58,67,2617
1624439128,23-06-2021 09:05,70,2639
1624439390,23-06-2021 09:09,71,2646
1624439789,23-06-2021 09:16,72,2667
1624440152,23-06-2021 09:22,75,2707
1624440296,23-06-2021 09:24,76,2621
1624440332,23-06-2021 09:25,76,2592
1624440796,23-06-2021 09:33,80,2446
1624441218,23-06-2021 09:40,83,2378
1624441731,23-06-2021 09:48,88,2342
1624442019,23-06-2021 09:53,90,2296
1624442693,23-06-2021 10:04,95,2289
1624443083,23-06-2021 10:11,98,2264
1624443852,23-06-2021 10:24,100,2235
1624444025,23-06-2021 10:27,100,2235
1624444281,23-06-2021 10:31,100,2200
1624444706,23-06-2021 10:38,100,2171
1624445213,23-06-2021 10:46,100,2135
1624445695,23-06-2021 10:54,100,2157
1624446668,23-06-2021 11:11,100,2064
1624447126,23-06-2021 11:18,100,2042
1624447513,23-06-2021 11:25,100,2142
1624447969,23-06-2021 11:32,100,2100
1624448421,23-06-2021 11:40,100,2046
1624448827,23-06-2021 11:47,100,2064
1624449183,23-06-2021 11:53,100,2117
1624449809,23-06-2021 12:03,100,2167
1624450076,23-06-2021 12:07,100,2175
1624450732,23-06-2021 12:18,100,2221
1624451161,23-06-2021 12:26,100,2228
1624451521,23-06-2021 12:32,100,2257
1624451922,23-06-2021 12:38,100,2264
1624452321,23-06-2021 12:45,100,2275
1624452765,23-06-2021 12:52,100,2289
1624453304,23-06-2021 13:01,100,2300
1624453748,23-06-2021 13:09,100,2317
1624453785,23-06-2021 13:09,100,2310
1624454096,23-06-2021 13:14,100,2325
1624454499,23-06-2021 13:21,100,2342
1624454864,23-06-2021 13:27,100,2342
1624455282,23-06-2021 13:34,100,2367
1624455642,23-06-2021 13:40,100,2378
1624456110,23-06-2021 13:48,100,2375
1624456785,23-06-2021 13:59,100,2389
1624457492,23-06-2021 14:11,100,2421
1624457857,23-06-2021 14:17,100,2417
1624458316,23-06-2021 14:25,100,2425
1624458748,23-06-2021 14:32,100,2421
