Epoch date,GMT,NO2_ppb_megasense
1624351201,22-06-2021 08:40,2635
1624351501,22-06-2021 08:45,2607
1624353659,22-06-2021 09:20,2414
1624353690,22-06-2021 09:21,2421
1624353753,22-06-2021 09:22,2428
1624353851,22-06-2021 09:24,2450
1624354044,22-06-2021 09:27,2435
1624354700,22-06-2021 09:38,2435
1624355319,22-06-2021 09:48,2407
1624356445,22-06-2021 10:07,2367
1624357735,22-06-2021 10:28,2417
1624358190,22-06-2021 10:36,2410
1624358638,22-06-2021 10:43,2439
1624359080,22-06-2021 10:51,2417
1624359355,22-06-2021 10:55,2353
1624360102,22-06-2021 11:08,2375
1624360313,22-06-2021 11:11,2364
1624360547,22-06-2021 11:15,2414
1624360759,22-06-2021 11:19,2435
1624360929,22-06-2021 11:22,2425
1624361110,22-06-2021 11:25,2403
1624361375,22-06-2021 11:29,2403
1624361771,22-06-2021 11:36,2407
1624362959,22-06-2021 11:55,2400
1624363678,22-06-2021 12:07,2407
1624364045,22-06-2021 12:14,2435
1624364453,22-06-2021 12:20,2439
1624364845,22-06-2021 12:27,2460
1624365304,22-06-2021 12:35,2471
1624365832,22-06-2021 12:43,2475
1624366497,22-06-2021 12:54,2500
1624367117,22-06-2021 13:05,2517
1624367383,22-06-2021 13:09,2500
1624367450,22-06-2021 13:10,2514
1624368137,22-06-2021 13:22,2521
1624368565,22-06-2021 13:29,2514
1624368964,22-06-2021 13:36,2528
1624369293,22-06-2021 13:41,2525
1624369854,22-06-2021 13:50,2517
1624370459,22-06-2021 14:00,2532
1624371173,22-06-2021 14:12,2550
1624371730,22-06-2021 14:22,2539
1624372075,22-06-2021 14:27,2535
1624372498,22-06-2021 14:34,2550
1624372875,22-06-2021 14:41,2567
1624373211,22-06-2021 14:46,2546
1624373613,22-06-2021 14:53,2542
1624375159,22-06-2021 15:19,2553
1624375196,22-06-2021 15:19,2567
1624375522,22-06-2021 15:25,2553
1624375525,22-06-2021 15:25,2553
1624375919,22-06-2021 15:31,2567
1624376284,22-06-2021 15:38,2553
1624376647,22-06-2021 15:44,2592
1624376965,22-06-2021 15:49,2564
1624377667,22-06-2021 16:01,2585
1624378075,22-06-2021 16:07,2578
1624378490,22-06-2021 16:14,2582
1624378885,22-06-2021 16:21,2589
1624379298,22-06-2021 16:28,2596
1624379743,22-06-2021 16:35,2571
1624380240,22-06-2021 16:44,2592
1624380768,22-06-2021 16:52,2592
1624381361,22-06-2021 17:02,2589
1624381754,22-06-2021 17:09,2603
1624382143,22-06-2021 17:15,2596
1624382548,22-06-2021 17:22,2610
1624382880,22-06-2021 17:28,2621
1624383208,22-06-2021 17:33,2610
1624383703,22-06-2021 17:41,2607
1624384095,22-06-2021 17:48,2610
1624384497,22-06-2021 17:54,2621
1624384872,22-06-2021 18:01,2596
1624385249,22-06-2021 18:07,2603
1624385651,22-06-2021 18:14,2610
1624386040,22-06-2021 18:20,2639
1624387149,22-06-2021 18:39,2628
1624387635,22-06-2021 18:47,2617
1624388060,22-06-2021 18:54,2614
1624388453,22-06-2021 19:00,2632
1624388749,22-06-2021 19:05,2625
1624388780,22-06-2021 19:06,2632
1624388783,22-06-2021 19:06,2632
1624388822,22-06-2021 19:07,2621
1624388825,22-06-2021 19:07,2632
1624388916,22-06-2021 19:08,2639
1624389074,22-06-2021 19:11,2628
1624389473,22-06-2021 19:17,2635
1624389868,22-06-2021 19:24,2628
1624390396,22-06-2021 19:33,2625
1624390905,22-06-2021 19:41,2642
1624391581,22-06-2021 19:53,2610
1624392140,22-06-2021 20:02,2617
1624392671,22-06-2021 20:11,2625
1624392676,22-06-2021 20:11,2625
1624393069,22-06-2021 20:17,2614
1624393462,22-06-2021 20:24,2617
1624393465,22-06-2021 20:24,2617
1624393891,22-06-2021 20:31,2607
1624393896,22-06-2021 20:31,2607
1624394263,22-06-2021 20:37,2603
1624394641,22-06-2021 20:44,2603
1624395042,22-06-2021 20:50,2600
1624395400,22-06-2021 20:56,2592
1624396100,22-06-2021 21:08,2589
1624396711,22-06-2021 21:18,2592
1624397263,22-06-2021 21:27,2589
1624397680,22-06-2021 21:34,2596
1624398030,22-06-2021 21:40,2596
1624398574,22-06-2021 21:49,2592
1624399027,22-06-2021 21:57,2585
1624399469,22-06-2021 22:04,2575
1624400057,22-06-2021 22:14,2567
1624400515,22-06-2021 22:21,2592
1624401055,22-06-2021 22:30,2589
1624401474,22-06-2021 22:37,2575
1624401672,22-06-2021 22:41,2575
1624401987,22-06-2021 22:46,2585
1624402362,22-06-2021 22:52,2560
1624402365,22-06-2021 22:52,2560
1624402718,22-06-2021 22:58,2578
1624403417,22-06-2021 23:10,2564
1624403424,22-06-2021 23:10,2564
1624403948,22-06-2021 23:19,2585
1624404508,22-06-2021 23:28,2585
1624405058,22-06-2021 23:37,2564
1624405629,22-06-2021 23:47,2571
1624407543,23-06-2021 00:19,2567
1624408198,23-06-2021 00:29,2567
1624408729,23-06-2021 00:38,2560
1624409253,23-06-2021 00:47,2567
1624409594,23-06-2021 00:53,2578
1624409625,23-06-2021 00:53,2571
1624409693,23-06-2021 00:54,2539
1624409776,23-06-2021 00:56,2560
1624410156,23-06-2021 01:02,2567
1624410790,23-06-2021 01:13,2575
1624411183,23-06-2021 01:19,2571
1624411533,23-06-2021 01:25,2564
