Epoch date,GMT,CO_mega
1624345215,22-06-2021 07:00,436
1624345246,22-06-2021 07:00,437
1624345308,22-06-2021 07:01,438
1624345339,22-06-2021 07:02,437
1624345370,22-06-2021 07:02,440
1624345432,22-06-2021 07:03,435
1624345490,22-06-2021 07:04,437
1624345552,22-06-2021 07:05,435
1624345615,22-06-2021 07:06,437
1624345674,22-06-2021 07:07,435
1624345736,22-06-2021 07:08,443
1624345795,22-06-2021 07:09,443
1624345795,22-06-2021 07:09,443
1624345854,22-06-2021 07:10,441
1624345914,22-06-2021 07:11,439
1624345976,22-06-2021 07:12,439
1624346034,22-06-2021 07:13,439
1624346095,22-06-2021 07:14,439
1624346154,22-06-2021 07:15,436
1624346213,22-06-2021 07:16,437
1624346274,22-06-2021 07:17,438
1624346336,22-06-2021 07:18,446
1624346393,22-06-2021 07:19,442
1624346454,22-06-2021 07:20,444
1624346515,22-06-2021 07:21,442
1624346576,22-06-2021 07:22,441
1624346641,22-06-2021 07:24,438
1624346770,22-06-2021 07:26,436
1624346834,22-06-2021 07:27,439
1624346897,22-06-2021 07:28,442
1624346963,22-06-2021 07:29,443
1624347018,22-06-2021 07:30,440
1624347087,22-06-2021 07:31,443
1624347153,22-06-2021 07:32,443
1624347215,22-06-2021 07:33,442
1624347277,22-06-2021 07:34,441
1624347335,22-06-2021 07:35,441
1624347396,22-06-2021 07:36,443
1624347458,22-06-2021 07:37,452
1624347517,22-06-2021 07:38,457
1624347577,22-06-2021 07:39,458
1624347636,22-06-2021 07:40,461
1624347693,22-06-2021 07:41,462
1624347756,22-06-2021 07:42,464
1624347816,22-06-2021 07:43,464
1624347875,22-06-2021 07:44,464
1624347937,22-06-2021 07:45,465
1624347995,22-06-2021 07:46,469
1624348056,22-06-2021 07:47,470
1624348108,22-06-2021 07:48,470
1624348166,22-06-2021 07:49,469
1624348221,22-06-2021 07:50,472
1624348277,22-06-2021 07:51,468
1624348341,22-06-2021 07:52,472
1624348457,22-06-2021 07:54,469
1624348517,22-06-2021 07:55,472
1624348580,22-06-2021 07:56,472
1624348644,22-06-2021 07:57,467
1624348706,22-06-2021 07:58,472
1624348773,22-06-2021 07:59,474
1624348833,22-06-2021 08:00,469
1624348897,22-06-2021 08:01,470
1624349542,22-06-2021 08:12,479
1624349925,22-06-2021 08:18,483
1624350222,22-06-2021 08:23,482
1624350632,22-06-2021 08:30,475
1624350632,22-06-2021 08:30,475
1624350947,22-06-2021 08:35,479
1624351321,22-06-2021 08:42,482
1624351713,22-06-2021 08:48,483
1624352030,22-06-2021 08:53,485
1624352121,22-06-2021 08:55,484
1624352394,22-06-2021 08:59,483
1624352757,22-06-2021 09:05,483
1624353501,22-06-2021 09:18,483
1624353834,22-06-2021 09:23,489
1624354371,22-06-2021 09:32,486
1624354526,22-06-2021 09:35,485
1624354868,22-06-2021 09:41,467
1624355278,22-06-2021 09:47,460
1624355583,22-06-2021 09:53,460
1624356283,22-06-2021 10:04,468
1624357063,22-06-2021 10:17,463
1624357405,22-06-2021 10:23,456
1624357803,22-06-2021 10:30,455
1624358141,22-06-2021 10:35,455
1624358484,22-06-2021 10:41,456
1624358874,22-06-2021 10:47,454
1624359229,22-06-2021 10:53,453
1624359348,22-06-2021 10:55,456
1624359589,22-06-2021 10:59,458
1624359960,22-06-2021 11:06,455
1624360306,22-06-2021 11:11,450
1624418423,23-06-2021 03:20,399
1624418454,23-06-2021 03:20,400
1624418705,23-06-2021 03:25,421
1624418948,23-06-2021 03:29,429
1624419157,23-06-2021 03:32,437
1624419445,23-06-2021 03:37,439
1624419725,23-06-2021 03:42,444
1624419977,23-06-2021 03:46,450
1624420309,23-06-2021 03:51,468
1624420938,23-06-2021 04:02,459
1624421191,23-06-2021 04:06,461
1624421862,23-06-2021 04:17,455
1624422084,23-06-2021 04:21,451
1624422395,23-06-2021 04:26,454
1624422710,23-06-2021 04:31,458
1624422906,23-06-2021 04:35,444
1624423214,23-06-2021 04:40,447
1624423534,23-06-2021 04:45,449
1624423843,23-06-2021 04:50,452
1624424173,23-06-2021 04:56,446
1624424489,23-06-2021 05:01,438
1624424790,23-06-2021 05:06,435
1624425091,23-06-2021 05:11,430
1624425722,23-06-2021 05:22,438
1624426234,23-06-2021 05:30,437
1624426440,23-06-2021 05:34,434
1624426481,23-06-2021 05:34,436
1624426689,23-06-2021 05:38,439
1624427000,23-06-2021 05:43,433
1624427325,23-06-2021 05:48,439
1624427646,23-06-2021 05:54,443
1624428129,23-06-2021 06:02,444
