Epoch date,GMT,Temperature,Humidity,Pressure_hpa,CO_mega_ppb,CO_mega_ppm,NO2_mega_ppb,NO2_mega_ppm,Ozone_ppm,Latitude,Longitude
1627379767,27-07-2021 09:56,36.61999893,36.44200134,944.6757202,661,0.661,2457,2.457,102,17.40361167,78.46359333
1627379798,27-07-2021 09:56,36.88000107,36.25400162,944.5388794,705,0.705,2664,2.664,85,17.40311167,78.46290333
1627379829,27-07-2021 09:57,37.06999969,35.44300079,944.440918,748,0.748,2710,2.71,77,17.402675,78.46162167
1627379860,27-07-2021 09:57,37.15999985,35.25400162,944.0418701,631,0.631,2482,2.482,67,17.40287667,78.45937333
1627379891,27-07-2021 09:58,37.22999954,35.22200012,944.0263062,668,0.668,2550,2.55,81,17.40274,78.457865
1627379922,27-07-2021 09:58,37.25999832,34.75500107,943.8953857,627,0.627,2385,2.385,54,17.40409667,78.45528167
1627379953,27-07-2021 09:59,37.29000092,34.88100052,943.4802856,620,0.62,2346,2.346,72,17.40372667,78.45350667
1627379984,27-07-2021 09:59,37.34999847,35.11999893,942.9631958,606,0.606,2310,2.31,74,17.402335,78.45213833
1627380015,27-07-2021 10:00,37.47999954,34.6609993,943.1624756,579,0.579,2275,2.275,79,17.40052833,78.45111333
1627380046,27-07-2021 10:00,37.58000183,34.33499908,943.8093872,643,0.643,2446,2.446,62,17.39908167,78.45027833
1627380077,27-07-2021 10:01,37.81000137,34.52500153,943.6931763,646,0.646,2353,2.353,101,17.39882667,78.44962667
1627380108,27-07-2021 10:01,37.95000076,34.26499939,943.7849121,673,0.673,2471,2.471,67,17.39887333,78.44851667
1627380108,27-07-2021 10:01,37.95000076,34.26499939,943.7849121,673,0.673,2471,2.471,67,17.39887333,78.44851667
1627380140,27-07-2021 10:02,37.95000076,34.4620018,943.6047974,654,0.654,2432,2.432,64,17.39887167,78.44685167
1627380171,27-07-2021 10:02,37.88999939,34.18600082,943.6900024,639,0.639,2428,2.428,79,17.39864,78.44605
1627380171,27-07-2021 10:02,37.88999939,34.18600082,943.6900024,639,0.639,2428,2.428,79,17.39864,78.44605
1627380202,27-07-2021 10:03,37.84000015,33.77500153,943.5410767,624,0.624,2475,2.475,55,17.39860667,78.44521167
1627380233,27-07-2021 10:03,37.81000137,34.8219986,943.4729004,733,0.733,2792,2.792,79,17.39853,78.44467833
1627380264,27-07-2021 10:04,37.79999924,34.58599854,943.4284058,622,0.622,2475,2.475,69,17.39754833,78.44329
1627380295,27-07-2021 10:04,37.77000046,34.62099838,943.6641846,655,0.655,2532,2.532,41,17.39567333,78.44236667
1627380326,27-07-2021 10:05,37.72000122,34.67900085,943.0969238,729,0.729,2628,2.628,49,17.39517333,78.440915
1627380357,27-07-2021 10:05,37.68000031,34.81200027,943.0106812,725,0.725,2610,2.61,103,17.39475833,78.43978667
1627380388,27-07-2021 10:06,37.63000107,35.44900131,943.0136108,764,0.764,2932,2.932,68,17.39459,78.438535
1627380419,27-07-2021 10:06,37.59000015,35.31200027,943.2158203,663,0.663,2621,2.621,81,17.39458833,78.43854167
1627380419,27-07-2021 10:06,37.59000015,35.31200027,943.2158203,663,0.663,2621,2.621,81,17.39458833,78.43854167
1627380450,27-07-2021 10:07,37.56000137,35.83800125,943.2053223,653,0.653,2657,2.657,102,17.39462167,78.438635
1627380481,27-07-2021 10:08,37.54999924,34.76499939,943.2476807,694,0.694,2703,2.703,65,17.39468,78.43878333
1627380512,27-07-2021 10:08,37.43999863,34.27600098,943.12323,599,0.599,2478,2.478,52,17.394615,78.439045
1627380544,27-07-2021 10:09,37.43999863,35.84199905,943.0253296,579,0.579,2439,2.439,123,17.39458667,78.43928
1627380574,27-07-2021 10:09,37.40999985,34.92699814,943.0734863,559,0.559,2357,2.357,55,17.39448,78.43959667
1627380605,27-07-2021 10:10,37.38999939,35.98500061,943.0206909,618,0.618,2489,2.489,55,17.39454667,78.43974167
1627380638,27-07-2021 10:10,37.34999847,36.58599854,942.9418945,621,0.621,2475,2.475,65,17.39466167,78.439965
1627380667,27-07-2021 10:11,37.24000168,36.33100128,942.9678955,627,0.627,2528,2.528,82,17.39476833,78.440045
1627380698,27-07-2021 10:11,36.91999817,35.56700134,942.8306885,722,0.722,2728,2.728,70,17.3949,78.44008333
1627380729,27-07-2021 10:12,36.65999985,35.62099838,942.7885742,579,0.579,2282,2.282,114,17.3949,78.44008333
1627380760,27-07-2021 10:12,36.43000031,35.98400116,942.8320923,668,0.668,2350,2.35,60,17.39488667,78.44015667
1627380792,27-07-2021 10:13,36.04000092,36.24900055,942.8356934,646,0.646,2307,2.307,102,17.39482667,78.44003333
1627380822,27-07-2021 10:13,35.65999985,37.3370018,942.7926025,665,0.665,2617,2.617,157,17.39480167,78.43960833
1627380853,27-07-2021 10:14,35.43000031,37.19499969,942.7633057,593,0.593,2317,2.317,107,17.39480167,78.43960833
1627380884,27-07-2021 10:14,35.25999832,37.83200073,942.7717896,659,0.659,2500,2.5,116,17.39478333,78.440165
1627380915,27-07-2021 10:15,35.16999817,38.30199814,942.8491821,627,0.627,1989,1.989,142,17.39477833,78.44024333
1627380946,27-07-2021 10:15,35.29000092,38.54499817,942.8496094,534,0.534,2185,2.185,129,17.39470333,78.44035833
1627380978,27-07-2021 10:16,35.43000031,37.37900162,942.8208008,529,0.529,2153,2.153,74,17.39467667,78.44003
1627381009,27-07-2021 10:16,35.49000168,37.50600052,942.7576294,690,0.69,2471,2.471,169,17.39461833,78.43977833
1627381009,27-07-2021 10:16,35.49000168,37.50600052,942.7576294,690,0.69,2471,2.471,169,17.39461833,78.43977833
1627381039,27-07-2021 10:17,35.56000137,37.15599823,942.8652954,595,0.595,2328,2.328,61,17.39460667,78.43953333
1627381071,27-07-2021 10:17,35.58000183,36.7159996,942.848877,581,0.581,2250,2.25,187,17.394585,78.439235
1627381102,27-07-2021 10:18,35.34999847,36.80799866,943.0386963,487,0.487,1950,1.95,0,17.39460333,78.43888333
1627381102,27-07-2021 10:18,35.34999847,36.80799866,943.0386963,487,0.487,1950,1.95,0,17.39460333,78.43888333
1627381132,27-07-2021 10:18,35.08000183,38.60100174,942.9224243,613,0.613,2307,2.307,197,17.39466667,78.43877167
1627381194,27-07-2021 10:19,35.06999969,39.75099945,943.2595825,706,0.706,2567,2.567,128,17.394875,78.437385
1627381225,27-07-2021 10:20,35.16999817,40.4090004,943.4671021,714,0.714,2692,2.692,116,17.39494167,78.43672667
1627381256,27-07-2021 10:20,35.31000137,40.29899979,943.4916992,694,0.694,2685,2.685,121,17.39499667,78.43450167
1627381287,27-07-2021 10:21,35.40999985,39.47499847,943.1245117,751,0.751,2889,2.889,118,17.39583167,78.43210833
1627381318,27-07-2021 10:21,35.45000076,38.77899933,943.5991211,619,0.619,2485,2.485,99,17.39576333,78.43157833
1627381349,27-07-2021 10:22,35.45000076,38.42300034,943.6635132,637,0.637,2632,2.632,112,17.39572,78.431505
1627381380,27-07-2021 10:23,35.52999878,39.50799942,943.649292,720,0.72,2764,2.764,66,17.39591167,78.42864667
1627381411,27-07-2021 10:23,35.63999939,38.54899979,943.2969971,571,0.571,2375,2.375,110,17.39596,78.42841667
1627381442,27-07-2021 10:24,35.72000122,38.36000061,942.9777222,754,0.754,2635,2.635,77,17.39608,78.42723
1627381473,27-07-2021 10:24,35.81999969,38.13600159,942.552124,716,0.716,2635,2.635,98,17.39634667,78.42494833
1627381504,27-07-2021 10:25,35.88000107,37.48899841,942.1802979,613,0.613,2396,2.396,63,17.39678833,78.42215833
1627381535,27-07-2021 10:25,35.86999893,37.70899963,943.0349731,616,0.616,2378,2.378,66,17.39768833,78.41952333
1627381566,27-07-2021 10:26,35.86000061,37.24200058,943.5449219,611,0.611,2453,2.453,79,17.39825833,78.41742
1627381597,27-07-2021 10:26,35.84000015,37.53499985,943.7194824,714,0.714,2646,2.646,78,17.39860167,78.41586333
1627381628,27-07-2021 10:27,35.84999847,37.72000122,943.4470825,626,0.626,2539,2.539,74,17.399835,78.41457667
1627381659,27-07-2021 10:27,35.84000015,38.07600021,943.2340698,621,0.621,2560,2.56,96,17.40039333,78.413655
1627381690,27-07-2021 10:28,35.88999939,38.29999924,942.756897,712,0.712,2653,2.653,86,17.40180833,78.41215167
1627381721,27-07-2021 10:28,35.93000031,37.97299957,943.1453857,683,0.683,2617,2.617,88,17.402445,78.41099167
1627381783,27-07-2021 10:29,36.04000092,37.55199814,943.1380005,703,0.703,2628,2.628,96,17.40441833,78.40673167
1627381813,27-07-2021 10:30,36.02000046,37.51300049,942.883728,629,0.629,2375,2.375,115,17.40516,78.40474833
1627381845,27-07-2021 10:30,35.95000076,37.32300186,942.5927734,593,0.593,2342,2.342,109,17.40582167,78.40345
1627381876,27-07-2021 10:31,35.88000107,37.24399948,942.2521973,577,0.577,2389,2.389,75,17.40646333,78.40254833
1627381907,27-07-2021 10:31,35.77999878,37.52999878,941.8538818,591,0.591,2382,2.382,113,17.407245,78.40141333
1627381938,27-07-2021 10:32,35.68999863,38.0379982,941.6478271,666,0.666,2467,2.467,122,17.40939833,78.399135
1627381968,27-07-2021 10:32,35.59000015,38.74200058,941.2536011,657,0.657,2564,2.564,148,17.40959,78.39851833
1627381999,27-07-2021 10:33,35.47999954,38.24100113,941.0310059,676,0.676,2482,2.482,127,17.40959,78.39851833
1627382031,27-07-2021 10:33,35.40000153,38.40599823,940.8259888,599,0.599,2360,2.36,141,17.40959,78.39851833
1627382061,27-07-2021 10:34,35.22999954,38.35699844,940.6560059,554,0.554,2246,2.246,93,17.41409833,78.39236667
1627382093,27-07-2021 10:34,35.06000137,38.73400116,941.4049072,589,0.589,2360,2.36,133,17.41409833,78.39236667
1627382123,27-07-2021 10:35,34.88000107,39.23300171,941.6209106,533,0.533,2203,2.203,110,17.41922667,78.38706833
